anio,mes,ruta,clasificacion_vuelo,origen_localidad,origen_provincia,destino_localidad,destino_provincia,pasajeros,asientos,vuelos,factor_ocupacion
2017,1,Ciudad de Buenos Aires - Formosa,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Formosa,Formosa,3764,4944,52,0.7613
2017,1,Ciudad de Buenos Aires - La Rioja,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,La Rioja,La Rioja,1931,3504,37,0.5511
2017,1,Ciudad de Buenos Aires - Mar del Plata,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mar del Plata,Buenos Aires,14926,16411,140,0.9095
2017,1,Ciudad de Buenos Aires - Mendoza,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Mendoza,Mendoza,27774,36963,257,0.7514
2017,1,Ciudad de Buenos Aires - Montevideo,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Montevideo,,6707,11196,122,0.5991
2017,1,Ciudad de Buenos Aires - Neuquén,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Neuquén,Neuquén,26293,31830,233,0.826
2017,1,Ciudad de Buenos Aires - Paraná,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Paraná,Entre Ríos,1543,2496,26,0.6182
2017,1,Ciudad de Buenos Aires - Porto Alegre,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Porto Alegre,,2513,3008,31,0.8354
2017,1,Ciudad de Buenos Aires - Posadas,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Posadas,Misiones,6513,8084,81,0.8057
2017,1,Ciudad de Buenos Aires - Puerto Iguazú,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Puerto Iguazú,Misiones,40540,45363,296,0.8937
2017,1,Ciudad de Buenos Aires - Puerto Madryn,cabotaje,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Puerto Madryn,Chubut,2095,3467,23,0.6043
2017,1,Ciudad de Buenos Aires - Punta del Este,internacional,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Punta del Este,,15168,19123,147,0.7932
